Time_Index,natural_gas_combined_cycle,solar_pv_scen_1,onshore_wind_scen_1,solar_pv_scen_2,onshore_wind_scen_2,solar_pv_scen_3,onshore_wind_scen_3,solar_pv_scen_4,onshore_wind_scen_4,solar_pv_scen_5,onshore_wind_scen_5,battery
185,1,0.1202,0.732666433,0.12621,0.769299755,0.13222,0.805933076,0.11419,0.696033111,0.10818,0.65939979,1
186,1,0,0.748077691,0,0.785481576,0,0.82288546,0,0.710673806,0,0.673269922,1
187,1,0,0.645534456,0,0.677811179,0,0.710087902,0,0.613257733,0,0.58098101,1
188,1,0,0.555666566,0,0.583449894,0,0.611233223,0,0.527883238,0,0.500099909,1
189,1,0,0.718843997,0,0.754786197,0,0.790728397,0,0.682901797,0,0.646959597,1
190,1,0,0.616308808,0,0.647124248,0,0.677939689,0,0.585493368,0,0.554677927,1
191,1,0,0.665126264,0,0.698382577,0,0.73163889,0,0.631869951,0,0.598613638,1
192,1,0,0.326508224,0,0.342833635,0,0.359159046,0,0.310182813,0,0.293857402,1
193,1,0,0.481972277,0,0.506070891,0,0.530169505,0,0.457873663,0,0.433775049,1
194,1,0,0.274109393,0,0.287814863,0,0.301520332,0,0.260403923,0,0.246698454,1
195,1,0,0.231299877,0,0.242864871,0,0.254429865,0,0.219734883,0,0.208169889,1
196,1,0,0.229242459,0,0.240704582,0,0.252166705,0,0.217780336,0,0.206318213,1
197,1,0,0.210230157,0,0.220741665,0,0.231253173,0,0.199718649,0,0.189207141,1
198,1,0,0.221656308,0,0.232739123,0,0.243821939,0,0.210573493,0,0.199490677,1
199,1,0,0.178725153,0,0.187661411,0,0.196597668,0,0.169788895,0,0.160852638,1
200,1,0,0.199159712,0,0.209117698,0,0.219075683,0,0.189201726,0,0.179243741,1
201,1,0.1584,0.212695658,0.16632,0.223330441,0.17424,0.233965224,0.15048,0.202060875,0.14256,0.191426092,1
202,1,0.3603,0.125840187,0.378315,0.132132196,0.39633,0.138424206,0.342285,0.119548178,0.32427,0.113256168,1
203,1,0.4586,0.09083949,0.48153,0.095381465,0.50446,0.099923439,0.43567,0.086297516,0.41274,0.081755541,1
204,1,0.4847,0.029331515,0.508935,0.030798091,0.53317,0.032264667,0.460465,0.027864939,0.43623,0.026398364,1
205,1,0.5907,0.011879676,0.620235,0.01247366,0.64977,0.013067644,0.561165,0.011285692,0.53163,0.010691708,1
206,1,0.7654,0.062274471,0.80367,0.065388195,0.84194,0.068501918,0.72713,0.059160747,0.68886,0.056047024,1
207,1,0.5757,0.214362696,0.604485,0.225080831,0.63327,0.235798966,0.546915,0.203644561,0.51813,0.192926426,1
208,1,0.4019,0.403303325,0.421995,0.423468491,0.44209,0.443633658,0.381805,0.383138159,0.36171,0.362972993,1
209,1,0.1541,0.626905501,0.161805,0.658250776,0.16951,0.689596051,0.146395,0.595560226,0.13869,0.564214951,1
210,1,0,0.91041702,0,0.955937871,0,1.001458722,0,0.864896169,0,0.819375318,1
211,1,0,0.963661015,0,1.011844066,0,1.060027117,0,0.915477964,0,0.867294914,1
212,1,0,0.841256082,0,0.883318886,0,0.92538169,0,0.799193278,0,0.757130474,1
213,1,0,0.795333326,0,0.835099992,0,0.874866659,0,0.75556666,0,0.715799993,1
214,1,0,0.792107224,0,0.831712585,0,0.871317946,0,0.752501863,0,0.712896502,1
215,1,0,0.769589841,0,0.808069333,0,0.846548825,0,0.731110349,0,0.692630857,1
216,1,0,0.798077762,0,0.83798165,0,0.877885538,0,0.758173874,0,0.718269986,1
217,1,0,0.748351872,0,0.785769466,0,0.823187059,0,0.710934278,0,0.673516685,1
218,1,0,0.705098033,0,0.740352935,0,0.775607836,0,0.669843131,0,0.63458823,1
219,1,0,0.783596933,0,0.82277678,0,0.861956626,0,0.744417086,0,0.70523724,1
220,1,0,0.800422609,0,0.840443739,0,0.88046487,0,0.760401479,0,0.720380348,1
221,1,0,0.55063653,0,0.578168357,0,0.605700183,0,0.523104704,0,0.495572877,1
222,1,0,0.559843063,0,0.587835216,0,0.615827369,0,0.53185091,0,0.503858757,1
223,1,0,0.464544684,0,0.487771918,0,0.510999152,0,0.44131745,0,0.418090216,1
224,1,0,0.581209481,0,0.610269955,0,0.639330429,0,0.552149007,0,0.523088533,1
225,1,0.1709,0.634156823,0.179445,0.665864664,0.18799,0.697572505,0.162355,0.602448982,0.15381,0.570741141,1
226,1,0.3428,0.470895797,0.35994,0.494440587,0.37708,0.517985377,0.32566,0.447351007,0.30852,0.423806217,1
227,1,0.4545,0.587407529,0.477225,0.616777905,0.49995,0.646148282,0.431775,0.558037153,0.40905,0.528666776,1
228,1,0.5223,0.457908809,0.548415,0.480804249,0.57453,0.50369969,0.496185,0.435013369,0.47007,0.412117928,1
229,1,0.5971,0.549954057,0.626955,0.57745176,0.65681,0.604949463,0.567245,0.522456354,0.53739,0.494958651,1
230,1,0.6098,0.617423415,0.64029,0.648294586,0.67078,0.679165757,0.57931,0.586552244,0.54882,0.555681074,1
231,1,0.5176,0.57672447,0.54348,0.605560694,0.56936,0.634396917,0.49172,0.547888247,0.46584,0.519052023,1
232,1,0.3503,0.79943192,0.367815,0.839403516,0.38533,0.879375112,0.332785,0.759460324,0.31527,0.719488728,1
233,1,0.1105,0.78913486,0.116025,0.828591603,0.12155,0.868048346,0.104975,0.749678117,0.09945,0.710221374,1
234,1,0,0.69455862,0,0.729286551,0,0.764014482,0,0.659830689,0,0.625102758,1
235,1,0,0.867375135,0,0.910743892,0,0.954112649,0,0.824006378,0,0.780637622,1
236,1,0,0.582306385,0,0.611421704,0,0.640537024,0,0.553191066,0,0.524075747,1
237,1,0,0.569114685,0,0.597570419,0,0.626026154,0,0.540658951,0,0.512203217,1
238,1,0,0.591272295,0,0.62083591,0,0.650399525,0,0.56170868,0,0.532145066,1
239,1,0,0.605965376,0,0.636263645,0,0.666561914,0,0.575667107,0,0.545368838,1
240,1,0,0.685430765,0,0.719702303,0,0.753973842,0,0.651159227,0,0.616887689,1
241,1,0,0.375128984,0,0.393885433,0,0.412641882,0,0.356372535,0,0.337616086,1
242,1,0,0.259837627,0,0.272829508,0,0.28582139,0,0.246845746,0,0.233853864,1
243,1,0,0.115667641,0,0.121451023,0,0.127234405,0,0.109884259,0,0.104100877,1
244,1,0,0.118977785,0,0.124926674,0,0.130875564,0,0.113028896,0,0.107080007,1
245,1,0,0.148685768,0,0.156120056,0,0.163554345,0,0.14125148,0,0.133817191,1
246,1,0,0.184496105,0,0.19372091,0,0.202945716,0,0.1752713,0,0.166046495,1
247,1,0,0.232574254,0,0.244202967,0,0.255831679,0,0.220945541,0,0.209316829,1
248,1,0,0.12083178,0,0.126873369,0,0.132914958,0,0.114790191,0,0.108748602,1
249,1,0.1904,0.045654915,0.19992,0.047937661,0.20944,0.050220407,0.18088,0.043372169,0.17136,0.041089424,1
250,1,0.3998,0.00896703,0.41979,0.009415382,0.43978,0.009863733,0.37981,0.008518679,0.35982,0.008070327,1
251,1,0.5013,0.00975288,0.526365,0.010240524,0.55143,0.010728168,0.476235,0.009265236,0.45117,0.008777592,1
252,1,0.5482,0.005116536,0.57561,0.005372363,0.60302,0.00562819,0.52079,0.004860709,0.49338,0.004604882,1
253,1,0.5471,4.68E-05,0.574455,0.00004914,0.60181,0.00005148,0.519745,0.00004446,0.49239,0.00004212,1
254,1,0.5638,0.001831072,0.59199,0.001922626,0.62018,0.002014179,0.53561,0.001739518,0.50742,0.001647965,1
255,1,0.4942,0.024346719,0.51891,0.025564055,0.54362,0.026781391,0.46949,0.023129383,0.44478,0.021912047,1
