Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2
,,,,,,,,681,53425,2374
,,,,,,,,682,55619,2471
,,,,,,,,683,57054,2535
,,,,,,,,684,57710,2564
,,,,,,,,685,63308,2813
,,,,,,,,686,62193,2764
,,,,,,,,687,61102,2715
,,,,,,,,688,60087,2670
,,,,,,,,689,59727,2654
,,,,,,,,690,58496,2599
,,,,,,,,691,60483,2688
,,,,,,,,692,64861,2882
,,,,,,,,693,65099,2893
,,,,,,,,694,65006,2889
,,,,,,,,695,65165,2896
,,,,,,,,696,62423,2774
,,,,,,,,697,62137,2761
,,,,,,,,698,62265,2767
,,,,,,,,699,58910,2618
,,,,,,,,700,55989,2488
,,,,,,,,701,52869,2349
,,,,,,,,702,50576,2247
,,,,,,,,703,47238,2099
,,,,,,,,704,49539,2201
,,,,,,,,705,53040,2357
,,,,,,,,706,55292,2457
,,,,,,,,707,58650,2606
,,,,,,,,708,60754,2700
,,,,,,,,709,67972,3021
,,,,,,,,710,68911,3062
,,,,,,,,711,64783,2879
,,,,,,,,712,59561,2647
,,,,,,,,713,58767,2611
,,,,,,,,714,58312,2591
,,,,,,,,715,59556,2646
,,,,,,,,716,61641,2739
,,,,,,,,717,62319,2769
,,,,,,,,718,63834,2837
,,,,,,,,719,66009,2933
,,,,,,,,720,66540,2957
,,,,,,,,721,61524,2734
,,,,,,,,722,53065,2358
,,,,,,,,723,48686,2163
,,,,,,,,724,45309,2013
,,,,,,,,725,42249,1877
,,,,,,,,726,40753,1811
,,,,,,,,727,41814,1858
,,,,,,,,728,43990,1955
,,,,,,,,729,46702,2075
,,,,,,,,730,48505,2155
,,,,,,,,731,51773,2301
,,,,,,,,732,54026,2401
,,,,,,,,733,59198,2631
,,,,,,,,734,60764,2700
,,,,,,,,735,58889,2617
,,,,,,,,736,56064,2491
,,,,,,,,737,56322,2503
,,,,,,,,738,56665,2518
,,,,,,,,739,57451,2553
,,,,,,,,740,59517,2645
,,,,,,,,741,60711,2698
,,,,,,,,742,62494,2777
,,,,,,,,743,64819,2880
,,,,,,,,744,64977,2887
,,,,,,,,745,60393,2684
,,,,,,,,746,52635,2339
,,,,,,,,747,49160,2184
,,,,,,,,748,46274,2056
,,,,,,,,749,43650,1940
,,,,,,,,750,42210,1876
,,,,,,,,751,43262,1922
,,,,,,,,752,44816,1991
,,,,,,,,753,45933,2041
,,,,,,,,754,47357,2104
,,,,,,,,755,49369,2194
,,,,,,,,756,51420,2285
,,,,,,,,757,55962,2487
,,,,,,,,758,58361,2593
,,,,,,,,759,56638,2517
,,,,,,,,760,54828,2436
,,,,,,,,761,55160,2451
,,,,,,,,762,55907,2484
,,,,,,,,763,56704,2520
,,,,,,,,764,59015,2622
,,,,,,,,765,60460,2687
,,,,,,,,766,62291,2768
,,,,,,,,767,64619,2871
,,,,,,,,768,65054,2891
,,,,,,,,769,60630,2694
,,,,,,,,770,54045,2402
,,,,,,,,771,50748,2255
,,,,,,,,772,47787,2123
,,,,,,,,773,44779,1990
,,,,,,,,774,43134,1917
,,,,,,,,775,43649,1939
,,,,,,,,776,45260,2011
,,,,,,,,777,46379,2061
,,,,,,,,778,48006,2133
,,,,,,,,779,50272,2234
,,,,,,,,780,52117,2316
,,,,,,,,781,56956,2531
,,,,,,,,782,59121,2627
,,,,,,,,783,57068,2536
,,,,,,,,784,54468,2420
,,,,,,,,785,54626,2427
,,,,,,,,786,55303,2457
,,,,,,,,787,56383,2505
,,,,,,,,788,58758,2611
,,,,,,,,789,59890,2661
,,,,,,,,790,61476,2732
,,,,,,,,791,63637,2828
,,,,,,,,792,64294,2857
,,,,,,,,793,60065,2669
,,,,,,,,794,52817,2347
,,,,,,,,795,49806,2213
,,,,,,,,796,47048,2091
,,,,,,,,797,44310,1969
,,,,,,,,798,42711,1898
,,,,,,,,799,43240,1921
,,,,,,,,800,44274,1967
,,,,,,,,801,45385,2017
,,,,,,,,802,46714,2076
,,,,,,,,803,48990,2177
,,,,,,,,804,51058,2269
,,,,,,,,805,55869,2483
,,,,,,,,806,58123,2583
,,,,,,,,807,56547,2513
,,,,,,,,808,54648,2428
,,,,,,,,809,54889,2439
,,,,,,,,810,55422,2463
,,,,,,,,811,56037,2490
,,,,,,,,812,57900,2573
,,,,,,,,813,58670,2607
,,,,,,,,814,60185,2674
,,,,,,,,815,62569,2780
,,,,,,,,816,63882,2839
,,,,,,,,817,60110,2671
,,,,,,,,818,52846,2348
,,,,,,,,819,49487,2199
,,,,,,,,820,46713,2076
,,,,,,,,821,43703,1942
,,,,,,,,822,41734,1854
,,,,,,,,823,43267,1923
,,,,,,,,824,41914,1862
,,,,,,,,825,43364,1927
,,,,,,,,826,44810,1991
,,,,,,,,827,45891,2039
,,,,,,,,828,47742,2121
,,,,,,,,829,51427,2285
,,,,,,,,830,51306,2280
,,,,,,,,831,52436,2330
,,,,,,,,832,54026,2401
,,,,,,,,833,55273,2456
,,,,,,,,834,55990,2488
,,,,,,,,835,58613,2605
,,,,,,,,836,61176,2718
,,,,,,,,837,61605,2738
