Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1_scen1,Load_MW_z1_scen2,Load_MW_z1_scen3,Load_MW_z2_scen1,Load_MW_z2_scen2,Load_MW_z2_scen3,Load_MW_z3_scen1,Load_MW_z3_scen2,Load_MW_z3_scen3
,,,,,,,,218,7745,8132.25,7357.75,2212,2322.6,2101.4,1055,1107.75,1002.25
,,,,,,,,219,7589,7968.45,7209.55,2167,2275.35,2058.65,1035,1086.75,983.25
,,,,,,,,220,7578,7956.9,7199.1,2164,2272.2,2055.8,1033,1084.65,981.35
,,,,,,,,221,7797,8186.85,7407.15,2227,2338.35,2115.65,1063,1116.15,1009.85
,,,,,,,,222,8521,8947.05,8094.95,2434,2555.7,2312.3,1161,1219.05,1102.95
,,,,,,,,223,9893,10387.65,9398.35,2825,2966.25,2683.75,1349,1416.45,1281.55
,,,,,,,,224,10626,11157.3,10094.7,3035,3186.75,2883.25,1449,1521.45,1376.55
,,,,,,,,225,10665,11198.25,10131.75,3046,3198.3,2893.7,1454,1526.7,1381.3
,,,,,,,,226,10719,11254.95,10183.05,3061,3214.05,2907.95,1461,1534.05,1387.95
,,,,,,,,227,10723,11259.15,10186.85,3062,3215.1,2908.9,1462,1535.1,1388.9
,,,,,,,,228,10619,11149.95,10088.05,3033,3184.65,2881.35,1448,1520.4,1375.6
,,,,,,,,229,10444,10966.2,9921.8,2983,3132.15,2833.85,1424,1495.2,1352.8
,,,,,,,,230,10355,10872.75,9837.25,2957,3104.85,2809.15,1412,1482.6,1341.4
,,,,,,,,231,10262,10775.1,9748.9,2930,3076.5,2783.5,1399,1468.95,1329.05
,,,,,,,,232,10332,10848.6,9815.4,2950,3097.5,2802.5,1408,1478.4,1337.6
,,,,,,,,233,11008,11558.4,10457.6,3144,3301.2,2986.8,1501,1576.05,1425.95
,,,,,,,,234,11778,12366.9,11189.1,3363,3531.15,3194.85,1605,1685.25,1524.75
,,,,,,,,235,11691,12275.55,11106.45,3339,3505.95,3172.05,1594,1673.7,1514.3
,,,,,,,,236,11401,11971.05,10830.95,3256,3418.8,3093.2,1555,1632.75,1477.25
,,,,,,,,237,10973,11521.65,10424.35,3134,3290.7,2977.3,1496,1570.8,1421.2
,,,,,,,,238,10250,10762.5,9737.5,2927,3073.35,2780.65,1398,1467.9,1328.1
,,,,,,,,239,9297,9761.85,8832.15,2655,2787.75,2522.25,1267,1330.35,1203.65
,,,,,,,,240,8468,8891.4,8044.6,2418,2538.9,2297.1,1154,1211.7,1096.3
,,,,,,,,241,7942,8339.1,7544.9,2269,2382.45,2155.55,1083,1137.15,1028.85
,,,,,,,,242,7679,8062.95,7295.05,2193,2302.65,2083.35,1047,1099.35,994.65
,,,,,,,,243,7558,7935.9,7180.1,2158,2265.9,2050.1,1030,1081.5,978.5
,,,,,,,,244,7592,7971.6,7212.4,2168,2276.4,2059.6,1035,1086.75,983.25
