Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
,,,,,,,,481,4345,1861.5,1244.25
,,,,,,,,482,4190,1794.75,1199.1
,,,,,,,,483,4095,1754.25,1171.8
,,,,,,,,484,4058,1738.5,1161.3
,,,,,,,,485,4092.5,1753.5,1171.8
,,,,,,,,486,4225,1810.5,1209.6
,,,,,,,,487,4486.5,1922.25,1284.15
,,,,,,,,488,4798,2055,1373.4
,,,,,,,,489,5145,2204.25,1473.15
,,,,,,,,490,5447.5,2333.25,1559.25
,,,,,,,,491,5633.5,2413.5,1612.8
,,,,,,,,492,5713,2447.25,1635.9
,,,,,,,,493,5712.5,2447.25,1635.9
,,,,,,,,494,5640,2415.75,1614.9
,,,,,,,,495,5548,2376.75,1588.65
,,,,,,,,496,5509,2359.5,1577.1
,,,,,,,,497,5719.5,2449.5,1638
,,,,,,,,498,6080.5,2604.75,1740.9
,,,,,,,,499,6018,2577.75,1723.05
,,,,,,,,500,5809.5,2488.5,1663.2
,,,,,,,,501,5595,2396.25,1601.25
,,,,,,,,502,5317,2277.75,1521.45
,,,,,,,,503,4975.5,2131.5,1424.85
,,,,,,,,504,4641.5,1988.25,1329.3
,,,,,,,,505,4380.5,1876.5,1254.75
,,,,,,,,506,4237,1815,1213.8
,,,,,,,,507,4168,1785,1192.8
,,,,,,,,508,4137.5,1773,1184.4
,,,,,,,,509,4165,1784.25,1192.8
,,,,,,,,510,4278.5,1833,1224.3
,,,,,,,,511,4479.5,1919.25,1283.1
,,,,,,,,512,4699.5,2013,1346.1
,,,,,,,,513,4991,2137.5,1429.05
,,,,,,,,514,5170.5,2214.75,1480.5
,,,,,,,,515,5241.5,2245.5,1500.45
,,,,,,,,516,5240.5,2244.75,1499.4
,,,,,,,,517,5209,2231.25,1491
,,,,,,,,518,5169.5,2214.75,1479.45
,,,,,,,,519,5154,2208,1475.25
,,,,,,,,520,5163,2211.75,1478.4
,,,,,,,,521,5404,2314.5,1547.7
,,,,,,,,522,5763.5,2469,1649.55
,,,,,,,,523,5765.5,2469.75,1650.6
,,,,,,,,524,5660,2424.75,1621.2
,,,,,,,,525,5452.5,2336.25,1561.35
,,,,,,,,526,5111,2190,1462.65
,,,,,,,,527,4729,2025.75,1353.45
,,,,,,,,528,4341.5,1859.25,1243.2
,,,,,,,,529,4063,1740.75,1163.4
,,,,,,,,530,3921,1679.25,1122.45
,,,,,,,,531,3863.5,1655.25,1106.7
,,,,,,,,532,3866.5,1656.75,1107.75
,,,,,,,,533,3986.5,1707.75,1141.35
,,,,,,,,534,4352,1863.75,1245.3
,,,,,,,,535,5017,2148.75,1436.4
,,,,,,,,536,5390.5,2309.25,1542.45
,,,,,,,,537,5471,2344.5,1566.6
