Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,,899,3663.75
,,,,,,,,900,3651.75
,,,,,,,,901,3614.75
,,,,,,,,902,3587.25
,,,,,,,,903,3542.25
,,,,,,,,904,3545
,,,,,,,,905,3667.5
,,,,,,,,906,3990.75
,,,,,,,,907,4071.5
,,,,,,,,908,3989.5
,,,,,,,,909,3844
,,,,,,,,910,3594.5
,,,,,,,,911,3267
,,,,,,,,912,2985
,,,,,,,,913,2807
,,,,,,,,914,2722.25
,,,,,,,,915,2694.25
,,,,,,,,916,2711.5
,,,,,,,,917,2802.75
,,,,,,,,918,3085.25
,,,,,,,,919,3583.25
,,,,,,,,920,3825
,,,,,,,,921,3854.75
,,,,,,,,922,3835.25
,,,,,,,,923,3811.5
,,,,,,,,924,3768.5
,,,,,,,,925,3709.75
,,,,,,,,926,3678.5
,,,,,,,,927,3646.25
,,,,,,,,928,3681
,,,,,,,,929,3833.25
,,,,,,,,930,4129.75
,,,,,,,,931,4176.75
