Time_Index,CT_NG,ME_NG,MA_NG,None
564,2.725,2.725,2.64,0
565,2.725,2.725,2.64,0
566,2.725,2.725,2.64,0
567,2.725,2.725,2.64,0
568,2.725,2.725,2.64,0
569,2.725,2.725,2.64,0
570,2.725,2.725,2.64,0
571,2.725,2.725,2.64,0
572,2.725,2.725,2.64,0
573,2.725,2.725,2.64,0
574,2.725,2.725,2.64,0
575,2.725,2.725,2.64,0
576,2.725,2.725,2.64,0
577,2.725,2.725,2.64,0
578,2.725,2.725,2.64,0
579,2.725,2.725,2.64,0
580,2.725,2.725,2.64,0
581,2.725,2.725,2.64,0
582,2.725,2.725,2.64,0
583,2.725,2.725,2.64,0
584,2.725,2.725,2.64,0
585,2.725,2.725,2.64,0
586,2.725,2.725,2.64,0
587,2.725,2.725,2.64,0
588,2.725,2.725,2.64,0
589,2.725,2.725,2.64,0
590,2.725,2.725,2.64,0
591,2.725,2.725,2.64,0
592,2.725,2.725,2.64,0
593,2.725,2.725,2.64,0
594,2.725,2.725,2.64,0
595,2.725,2.725,2.64,0
596,2.725,2.725,2.64,0
597,2.725,2.725,2.64,0
598,2.725,2.725,2.64,0
599,2.725,2.725,2.64,0
600,2.725,2.725,2.64,0
601,2.725,2.725,2.64,0
602,2.725,2.725,2.64,0
603,2.725,2.725,2.64,0
604,2.725,2.725,2.64,0
605,2.725,2.725,2.64,0
606,2.725,2.725,2.64,0
607,2.725,2.725,2.64,0
608,2.725,2.725,2.64,0
609,2.725,2.725,2.64,0
610,2.725,2.725,2.64,0
611,2.725,2.725,2.64,0
612,2.725,2.725,2.64,0
613,2.725,2.725,2.64,0
614,2.725,2.725,2.64,0
615,2.725,2.725,2.64,0
616,2.725,2.725,2.64,0
617,2.725,2.725,2.64,0
618,2.725,2.725,2.64,0
619,2.725,2.725,2.64,0
620,2.725,2.725,2.64,0
621,2.725,2.725,2.64,0
622,2.725,2.725,2.64,0
623,2.725,2.725,2.64,0
624,2.725,2.725,2.64,0
625,2.725,2.725,2.64,0
626,2.725,2.725,2.64,0
627,2.725,2.725,2.64,0
628,2.725,2.725,2.64,0
629,2.725,2.725,2.64,0
630,2.725,2.725,2.64,0
631,2.725,2.725,2.64,0
632,2.725,2.725,2.64,0
633,2.725,2.725,2.64,0
634,2.725,2.725,2.64,0
635,2.725,2.725,2.64,0
636,2.725,2.725,2.64,0
637,2.725,2.725,2.64,0
638,2.725,2.725,2.64,0
639,2.725,2.725,2.64,0
640,2.725,2.725,2.64,0
641,2.725,2.725,2.64,0
642,2.725,2.725,2.64,0
643,2.725,2.725,2.64,0
644,2.725,2.725,2.64,0
645,2.725,2.725,2.64,0
646,2.725,2.725,2.64,0
647,2.725,2.725,2.64,0
648,2.725,2.725,2.64,0
649,2.725,2.725,2.64,0
650,2.725,2.725,2.64,0
651,2.725,2.725,2.64,0
652,2.725,2.725,2.64,0
653,2.725,2.725,2.64,0
654,2.725,2.725,2.64,0
655,2.725,2.725,2.64,0
656,2.725,2.725,2.64,0
657,2.725,2.725,2.64,0
658,2.725,2.725,2.64,0
659,2.725,2.725,2.64,0
660,2.725,2.725,2.64,0
661,2.725,2.725,2.64,0
662,2.725,2.725,2.64,0
663,2.725,2.725,2.64,0
664,2.725,2.725,2.64,0
665,2.725,2.725,2.64,0
666,2.725,2.725,2.64,0
667,2.725,2.725,2.64,0
668,2.725,2.725,2.64,0
669,2.725,2.725,2.64,0
670,2.725,2.725,2.64,0
671,2.725,2.725,2.64,0
672,2.725,2.725,2.64,0
673,2.725,2.725,2.64,0
674,2.725,2.725,2.64,0
675,2.725,2.725,2.64,0
676,2.725,2.725,2.64,0
677,2.725,2.725,2.64,0
678,2.725,2.725,2.64,0
679,2.725,2.725,2.64,0
680,2.725,2.725,2.64,0
681,2.725,2.725,2.64,0
682,2.725,2.725,2.64,0
683,2.725,2.725,2.64,0
684,2.725,2.725,2.64,0
685,2.725,2.725,2.64,0
686,2.725,2.725,2.64,0
687,2.725,2.725,2.64,0
688,2.725,2.725,2.64,0
689,2.725,2.725,2.64,0
690,2.725,2.725,2.64,0
691,2.725,2.725,2.64,0
692,2.725,2.725,2.64,0
693,2.725,2.725,2.64,0
694,2.725,2.725,2.64,0
695,2.725,2.725,2.64,0
696,2.725,2.725,2.64,0
697,2.725,2.725,2.64,0
698,2.725,2.725,2.64,0
699,2.725,2.725,2.64,0
700,2.725,2.725,2.64,0
701,2.725,2.725,2.64,0
702,2.725,2.725,2.64,0
703,2.725,2.725,2.64,0
704,2.725,2.725,2.64,0
705,2.725,2.725,2.64,0
706,2.725,2.725,2.64,0
707,2.725,2.725,2.64,0
708,2.725,2.725,2.64,0
709,2.725,2.725,2.64,0
710,2.725,2.725,2.64,0
711,2.725,2.725,2.64,0
712,2.725,2.725,2.64,0
713,2.725,2.725,2.64,0
714,2.725,2.725,2.64,0
715,2.725,2.725,2.64,0
716,2.725,2.725,2.64,0
717,2.725,2.725,2.64,0
718,2.725,2.725,2.64,0
719,2.725,2.725,2.64,0
720,2.725,2.725,2.64,0
721,2.725,2.725,2.64,0
722,2.725,2.725,2.64,0
723,2.725,2.725,2.64,0
724,2.725,2.725,2.64,0
725,2.725,2.725,2.64,0
726,2.725,2.725,2.64,0
727,2.725,2.725,2.64,0
728,2.725,2.725,2.64,0
729,2.725,2.725,2.64,0
730,2.725,2.725,2.64,0
731,2.725,2.725,2.64,0
732,2.725,2.725,2.64,0
733,2.725,2.725,2.64,0
734,2.725,2.725,2.64,0
735,2.725,2.725,2.64,0
736,2.725,2.725,2.64,0
737,2.725,2.725,2.64,0
738,2.725,2.725,2.64,0
739,2.725,2.725,2.64,0
740,2.725,2.725,2.64,0
741,2.725,2.725,2.64,0
742,2.725,2.725,2.64,0
743,2.725,2.725,2.64,0
744,2.725,2.725,2.64,0
745,2.045,2.045,1.99,0
746,2.045,2.045,1.99,0
747,2.045,2.045,1.99,0
748,2.045,2.045,1.99,0
749,2.045,2.045,1.99,0
750,2.045,2.045,1.99,0
751,2.045,2.045,1.99,0
752,2.045,2.045,1.99,0
753,2.045,2.045,1.99,0
754,2.045,2.045,1.99,0
755,2.045,2.045,1.99,0
756,2.045,2.045,1.99,0
757,2.045,2.045,1.99,0
758,2.045,2.045,1.99,0
759,2.045,2.045,1.99,0
760,2.045,2.045,1.99,0
761,2.045,2.045,1.99,0
762,2.045,2.045,1.99,0
763,2.045,2.045,1.99,0
764,2.045,2.045,1.99,0
765,2.045,2.045,1.99,0
766,2.045,2.045,1.99,0
767,2.045,2.045,1.99,0
768,2.045,2.045,1.99,0
769,2.045,2.045,1.99,0
770,2.045,2.045,1.99,0
771,2.045,2.045,1.99,0
772,2.045,2.045,1.99,0
773,2.045,2.045,1.99,0
774,2.045,2.045,1.99,0
775,2.045,2.045,1.99,0
776,2.045,2.045,1.99,0
777,2.045,2.045,1.99,0
778,2.045,2.045,1.99,0
