Year,Hour_Index,Interior_Wind,Coastal_Wind,Solar_PV_DC,Solar_PV_AC,Year,Hour_Index,Interior_Wind,Coastal_Wind,Solar_PV_DC,Solar_PV_AC,Year,Hour_Index,Interior_Wind,Coastal_Wind,Solar_PV_DC,Solar_PV_AC
2020,150,0.100333333,0.092,0,0,2021,150,0.861333333,0.88,0,0,2022,150,0.288,0.925666667,0,0
2020,151,0.08,0.037333333,0,0,2021,151,0.841666667,0.858,0,0,2022,151,0.254,0.901666667,0,0
2020,152,0.123,0.05,0,0,2021,152,0.818333333,0.835666667,0,0,2022,152,0.220333333,0.879333333,0,0
2020,153,0.165,0.194666667,0,0,2021,153,0.798333333,0.828666667,0,0,2022,153,0.191,0.856333333,0,0
2020,154,0.210666667,0.413333333,0,0,2021,154,0.78,0.815,0,0,2022,154,0.158333333,0.820666667,0,0
2020,155,0.259333333,0.581333333,0,0,2021,155,0.761,0.790666667,0,0,2022,155,0.131666667,0.773,0,0
2020,156,0.316,0.703333333,0,0,2021,156,0.736,0.765333333,0,0,2022,156,0.117333333,0.724,0,0
2020,157,0.390666667,0.788,0,0,2021,157,0.707,0.744666667,0,0,2022,157,0.113333333,0.674,0,0
2020,158,0.475666667,0.825,0.010333333,0.013743333,2021,158,0.682666667,0.709333333,0.008,0.01064,2022,158,0.109666667,0.63,0.005666667,0.007536667
2020,159,0.510333333,0.787333333,0.643333333,0.855633333,2021,159,0.515333333,0.507333333,0.589,0.78337,2022,159,0.127333333,0.567,0.559333333,0.743913333
2020,160,0.258666667,0.883333333,0.796,1,2021,160,0.183666667,0.489,0.764666667,0.985423333,2022,160,0.146666667,0.454666667,0.756333333,0.972566667
2020,161,0.147333333,0.937,0.850333333,1,2021,161,0.348,0.776666667,0.826666667,1,2022,161,0.208,0.337333333,0.826666667,1
2020,162,0.376,0.921,0.866333333,1,2021,162,0.276666667,0.781333333,0.850666667,1,2022,162,0.274333333,0.273333333,0.850333333,1
2020,163,0.510666667,0.845,0.860666667,1,2021,163,0.176333333,0.752666667,0.848,1,2022,163,0.360333333,0.251,0.837,1
2020,164,0.585,0.699333333,0.849333333,1,2021,164,0.128,0.729666667,0.834333333,1,2022,164,0.435333333,0.231666667,0.822,1
2020,165,0.615666667,0.537333333,0.818,1,2021,165,0.105666667,0.694,0.798666667,1,2022,165,0.494666667,0.236,0.786333333,0.997836667
2020,166,0.608666667,0.434,0.754666667,0.996506667,2021,166,0.085666667,0.637333333,0.727666667,0.967796667,2022,166,0.547,0.278,0.714333333,0.950063333
2020,167,0.589333333,0.393333333,0.627666667,0.834796667,2021,167,0.06,0.516666667,0.587,0.78071,2022,167,0.532,0.342666667,0.573,0.76209
2020,168,0.69,0.421,0.291666667,0.387916667,2021,168,0.093333333,0.371666667,0.243,0.32319,2022,168,0.707666667,0.403333333,0.237333333,0.315653333
2020,169,0.797666667,0.471666667,0,0,2021,169,0.256666667,0.284333333,0,0,2022,169,0.88,0.457666667,0,0
2020,170,0.871333333,0.474,0,0,2021,170,0.463,0.244666667,0,0,2022,170,0.929666667,0.463,0,0
2020,171,0.906333333,0.416333333,0,0,2021,171,0.596,0.256666667,0,0,2022,171,0.931,0.436333333,0,0
2020,172,0.913,0.325666667,0,0,2021,172,0.622666667,0.325,0,0,2022,172,0.925,0.397,0,0
2020,173,0.913666667,0.25,0,0,2021,173,0.585666667,0.427,0,0,2022,173,0.914333333,0.340666667,0,0
