Time_Index,None,waste_biomass,west_south_central_coal,west_south_central_naturalgas,west_south_central_uranium,west_south_central_distillate
336,0.0,1.0,1.86,2.85,0.69,17.96
337,0.0,1.0,1.86,2.85,0.69,17.96
338,0.0,1.0,1.86,2.85,0.69,17.96
339,0.0,1.0,1.86,2.85,0.69,17.96
340,0.0,1.0,1.86,2.85,0.69,17.96
341,0.0,1.0,1.86,2.85,0.69,17.96
342,0.0,1.0,1.86,2.85,0.69,17.96
343,0.0,1.0,1.86,2.85,0.69,17.96
344,0.0,1.0,1.86,2.85,0.69,17.96
345,0.0,1.0,1.86,2.85,0.69,17.96
346,0.0,1.0,1.86,2.85,0.69,17.96
347,0.0,1.0,1.86,2.85,0.69,17.96
348,0.0,1.0,1.86,2.85,0.69,17.96
349,0.0,1.0,1.86,2.85,0.69,17.96
350,0.0,1.0,1.86,2.85,0.69,17.96
351,0.0,1.0,1.86,2.85,0.69,17.96
352,0.0,1.0,1.86,2.85,0.69,17.96
353,0.0,1.0,1.86,2.85,0.69,17.96
354,0.0,1.0,1.86,2.85,0.69,17.96
355,0.0,1.0,1.86,2.85,0.69,17.96
356,0.0,1.0,1.86,2.85,0.69,17.96
357,0.0,1.0,1.86,2.85,0.69,17.96
358,0.0,1.0,1.86,2.85,0.69,17.96
359,0.0,1.0,1.86,2.85,0.69,17.96
360,0.0,1.0,1.86,2.85,0.69,17.96
361,0.0,1.0,1.86,2.85,0.69,17.96
362,0.0,1.0,1.86,2.85,0.69,17.96
363,0.0,1.0,1.86,2.85,0.69,17.96
364,0.0,1.0,1.86,2.85,0.69,17.96
365,0.0,1.0,1.86,2.85,0.69,17.96
366,0.0,1.0,1.86,2.85,0.69,17.96
367,0.0,1.0,1.86,2.85,0.69,17.96
368,0.0,1.0,1.86,2.85,0.69,17.96
369,0.0,1.0,1.86,2.85,0.69,17.96
370,0.0,1.0,1.86,2.85,0.69,17.96
371,0.0,1.0,1.86,2.85,0.69,17.96
372,0.0,1.0,1.86,2.85,0.69,17.96
373,0.0,1.0,1.86,2.85,0.69,17.96
374,0.0,1.0,1.86,2.85,0.69,17.96
375,0.0,1.0,1.86,2.85,0.69,17.96
376,0.0,1.0,1.86,2.85,0.69,17.96
377,0.0,1.0,1.86,2.85,0.69,17.96
378,0.0,1.0,1.86,2.85,0.69,17.96
379,0.0,1.0,1.86,2.85,0.69,17.96
380,0.0,1.0,1.86,2.85,0.69,17.96
381,0.0,1.0,1.86,2.85,0.69,17.96
382,0.0,1.0,1.86,2.85,0.69,17.96
383,0.0,1.0,1.86,2.85,0.69,17.96
384,0.0,1.0,1.86,2.85,0.69,17.96
385,0.0,1.0,1.86,2.85,0.69,17.96
386,0.0,1.0,1.86,2.85,0.69,17.96
387,0.0,1.0,1.86,2.85,0.69,17.96
388,0.0,1.0,1.86,2.85,0.69,17.96
389,0.0,1.0,1.86,2.85,0.69,17.96
390,0.0,1.0,1.86,2.85,0.69,17.96
391,0.0,1.0,1.86,2.85,0.69,17.96
392,0.0,1.0,1.86,2.85,0.69,17.96
393,0.0,1.0,1.86,2.85,0.69,17.96
394,0.0,1.0,1.86,2.85,0.69,17.96
395,0.0,1.0,1.86,2.85,0.69,17.96
396,0.0,1.0,1.86,2.85,0.69,17.96
397,0.0,1.0,1.86,2.85,0.69,17.96
